grid_id,local,visitor,total_local,total_visitor,OR
1056,63,2908,115506,3314402,0.6216512127453748
1057,219,12966,115506,3314402,0.4846617381960113
1058,85,2952,115506,3314402,0.8262342816621594
1059,208,4420,115506,3314402,1.3503355567981699
1060,93,2492,115506,3314402,1.0708670321518392
1061,394,10340,115506,3314402,1.0933930802023866
1062,41,1349,115506,3314402,0.8721125677245408
1063,8,1295,115506,3314402,0.1772641271472501
1066,21,351,115506,3314402,1.716772769860921
1067,19,954,115506,3314402,0.571486353309498
1069,12,502,115506,3314402,0.6859274242699868
1071,34,1424,115506,3314402,0.6851246065917681
1072,96,2483,115506,3314402,1.109417855766519
1073,95,3506,115506,3314402,0.777521364884856
1076,36,2274,115506,3314402,0.45426855802576954
1077,28,2451,115506,3314402,0.3278048373296251
1078,71,3773,115506,3314402,0.5399731702409857
1079,135,2898,115506,3314402,1.3367063935696168
1080,289,8565,115506,3314402,0.9682134545460316
1081,83,2698,115506,3314402,0.8827480868431328
1082,242,6160,115506,3314402,1.1272890585770436
1083,36,2326,115506,3314402,0.44411294107936367
1086,58,1661,115506,3314402,1.0019798758300689
1087,42,1816,115506,3314402,0.6636423372479993
1088,35,769,115506,3314402,1.3059974907264484
1090,5,1660,115506,3314402,0.08642961018662984
1091,43,1327,115506,3314402,0.9298184740198401
1092,333,7665,115506,3314402,1.2466160448523222
1093,85,4074,115506,3314402,0.598685223236793
1098,8,492,115506,3314402,0.46657935905627823
1100,15,780,115506,3314402,0.5518198188838674
1101,200,7495,115506,3314402,0.7657006159295826
1102,246,8345,115506,3314402,0.8458812610140722
1103,2570,44118,115506,3314402,1.6715445078117788
1104,63,1480,115506,3314402,1.2214606261240202
1106,59,3556,115506,3314402,0.47609201471757745
1107,166,7395,115506,3314402,0.644125581691081
1108,116,2233,115506,3314402,1.4906301601018757
1109,73,2039,115506,3314402,1.0273212518308783
1112,80,5283,115506,3314402,0.4345202435277094
1113,226,5170,115506,3314402,1.254349421958068
1114,364,6399,115506,3314402,1.6322621553108054
1120,14,558,115506,3314402,0.7199369680061928
1123,143,6785,115506,3314402,0.6047652429212141
1124,630,14877,115506,3314402,1.2151386211356792
1125,1514,39283,115506,3314402,1.1059152992665815
1126,175,7574,115506,3314402,0.6629997823928169
1127,32,1130,115506,3314402,0.8125913085157129
1128,19,1473,115506,3314402,0.3701276178257034
1129,14,1540,115506,3314402,0.2608602780178283
1130,58,2375,115506,3314402,0.7007530836857871
1131,163,3276,115506,3314402,1.4277242933027048
1132,67,1076,115506,3314402,1.7867474433005524
1133,31,3092,115506,3314402,0.28768872834437076
1135,391,8818,115506,3314402,1.2723520704861415
1136,511,14535,115506,3314402,1.0088033180173461
1137,61,2205,115506,3314402,0.7938197122447291
1142,24,1732,115506,3314402,0.397616128156505
1144,17,1526,115506,3314402,0.31966495405854445
1145,128,10050,115506,3314402,0.365463951690649
1146,365,10660,115506,3314402,0.9825084580127398
1147,766,26485,115506,3314402,0.8299070049379728
1148,84,3973,115506,3314402,0.6066823480706603
1149,28,2404,115506,3314402,0.33421366734397295
1150,60,3844,115506,3314402,0.4478870538287374
1151,164,6974,115506,3314402,0.6747805298883887
1152,78,3246,115506,3314402,0.6895197736885293
1153,226,3843,115506,3314402,1.6874802267819962
1154,77,2498,115506,3314402,0.884502223703365
1156,79,1424,115506,3314402,1.5919071741396964
1157,269,8388,115506,3314402,0.9202259926737649
1158,391,6039,115506,3314402,1.8578573534603071
1159,6,186,115506,3314402,0.9256332445793907
1162,7,253,115506,3314402,0.7939225852716512
1164,5,79,115506,3314402,1.8161158596177915
1165,525,14348,115506,3314402,1.049949892356397
1166,463,15773,115506,3314402,0.8423010181606538
1167,1366,36190,115506,3314402,1.0830855312229588
1168,132,7150,115506,3314402,0.5297470261285128
1169,102,7875,115506,3314402,0.371663786585401
1170,112,3294,115506,3314402,0.9756522845111245
1171,71,3456,115506,3314402,0.5895019592937613
1172,179,4249,115506,3314402,1.2088347550414307
1173,166,3567,115506,3314402,1.3353823035058998
1174,221,7129,115506,3314402,0.8895375730976862
1177,103,1827,115506,3314402,1.6177049534438939
1178,217,3609,115506,3314402,1.7253352275659632
1179,56,1285,115506,3314402,1.2505053016263208
1184,74,2318,115506,3314402,0.9160494663783961
1186,40,2199,115506,3314402,0.5219578095854681
1187,1645,29091,115506,3314402,1.6225866181061508
1188,620,19861,115506,3314402,0.8957590736023306
1189,60,5702,115506,3314402,0.30194279812656377
1190,270,12748,115506,3314402,0.6077463333173438
1191,389,7985,115506,3314402,1.397897469803741
1192,196,5461,115506,3314402,1.029875040114334
1193,70,6874,115506,3314402,0.2922060140729237
1194,225,6525,115506,3314402,0.9894700200676245
1195,104,6359,115506,3314402,0.469294162686579
1196,27,3235,115506,3314402,0.23949150717556417
1198,26,1861,115506,3314402,0.4008922058737178
1199,262,4487,115506,3314402,1.6755055075716092
1200,62,1289,115506,3314402,1.3801916959515816
1204,6,455,115506,3314402,0.3783907329489377
1208,151,9661,115506,3314402,0.44849282867986007
1209,1449,30796,115506,3314402,1.3501272799474493
1210,1179,35596,115506,3314402,0.9504149189833732
1211,121,6580,115506,3314402,0.5276672189084034
1212,205,8034,115506,3314402,0.7321881091986591
1213,334,10859,115506,3314402,0.8825864825835722
1214,170,9885,115506,3314402,0.49348378340246724
1215,181,5951,115506,3314402,0.8727488044589078
1216,416,17448,115506,3314402,0.6841452500054919
1217,179,8018,115506,3314402,0.6406010070056172
1218,5,1169,115506,3314402,0.12273152515808858
1220,32,707,115506,3314402,1.298766872167971
1221,209,2786,115506,3314402,2.1526122726596815
1231,670,21017,115506,3314402,0.9147548408390325
1232,1145,33542,115506,3314402,0.9795287107610003
1233,739,17068,115506,3314402,1.2424028591556868
1234,132,5798,115506,3314402,0.6532754806517534
1235,157,8378,115506,3314402,0.5377246361145731
1236,300,5731,115506,3314402,1.5020745375306812
1237,98,9432,115506,3314402,0.2981418359872974
1238,210,6400,115506,3314402,0.9415425659705989
1239,137,5119,115506,3314402,0.7679555361845422
1240,45,935,115506,3314402,1.3810250012708556
1243,41,824,115506,3314402,1.4277668129373855
1251,52,3773,115506,3314402,0.39547330778213036
1252,1136,28784,115506,3314402,1.132472913462612
1253,1679,42258,115506,3314402,1.1400985552348124
1254,589,17697,115506,3314402,0.9550283897143637
1255,311,6219,115506,3314402,1.4349622304212744
1256,206,4947,115506,3314402,1.1948845562732948
1257,209,3314,115506,3314402,1.8096493034489658
1258,20,3803,115506,3314402,0.1509052357715546
1259,182,4976,115506,3314402,1.0495222600315357
1260,22,1931,115506,3314402,0.3269196648385005
1261,8,859,115506,3314402,0.26723753743386364
1269,5,476,115506,3314402,0.3014141867853058
1270,2138,33759,115506,3314402,1.817267104601228
1271,1652,35327,115506,3314402,1.3418498519942184
1272,600,18967,115506,3314402,0.9077228000831268
1273,278,6485,115506,3314402,1.2300859370524577
1274,183,4218,115506,3314402,1.2449306298005889
1275,138,2721,115506,3314402,1.4552954870674872
1276,15,2630,115506,3314402,0.1636575888705006
1277,156,3402,115506,3314402,1.3158031660158531
1278,181,8673,115506,3314402,0.5988387104041233
1279,57,1253,115506,3314402,1.3053423329383742
1282,8,916,115506,3314402,0.2506081273533721
1287,13,555,115506,3314402,0.67212648209999
1288,16,1194,115506,3314402,0.3845176627398474
1289,685,24403,115506,3314402,0.8054674404230365
1290,565,21232,115506,3314402,0.7635863921819906
1291,589,12341,115506,3314402,1.369511175170172
1292,233,5755,115506,3314402,1.1617461208682778
1293,79,2712,115506,3314402,0.8358686637075692
1294,21,2157,115506,3314402,0.27936358007472567
1295,40,1490,115506,3314402,0.7703256532070096
1296,58,2331,115506,3314402,0.7139805121208684
1297,32,660,115506,3314402,1.3912548160950842
1305,12,1067,115506,3314402,0.32271374600143704
1306,609,19145,115506,3314402,0.9127725267387995
1307,71,6134,115506,3314402,0.3321354371241015
1308,285,13173,115506,3314402,0.620813005075451
1309,77,3336,115506,3314402,0.6623161135524597
1310,94,4473,115506,3314402,0.6030170522477855
1311,12,727,115506,3314402,0.4736390192345713
1312,174,4039,115506,3314402,1.2361638329441034
1313,174,8484,115506,3314402,0.588503738951112
1314,10,1049,115506,3314402,0.27354271288809445
1315,22,789,115506,3314402,0.8001037678113365
1322,5,610,115506,3314402,0.23520189001607467
1323,16,1254,115506,3314402,0.3661196884460748
1324,44,4985,115506,3314402,0.25327256682172294
1325,199,4148,115506,3314402,1.37662282685879
1326,119,2859,115506,3314402,1.1943550329672514
1327,86,4937,115506,3314402,0.4998457018530799
1328,122,2260,115506,3314402,1.5490021818580777
1329,103,3036,115506,3314402,0.97350031289262
