grid_id,local,visitor,total_local,total_visitor,OR
615,172,6143,39961,3096509,2.1696212736279996
624,37,2427,39961,3096509,1.1813210607990092
626,128,7387,39961,3096509,1.3426965394413741
627,132,4090,39961,3096509,2.500844117635722
628,6,2936,39961,3096509,0.1583547876072904
629,222,9018,39961,3096509,1.907562351669458
630,257,8538,39961,3096509,2.3324533789852464
631,96,3164,39961,3096509,2.351098136106218
640,38,1284,39961,3096509,2.2932667372495037
642,18,1724,39961,3096509,0.8090423255481519
643,96,9285,39961,3096509,0.8011711903758829
644,136,7270,39961,3096509,1.4495743528757596
645,92,8949,39961,3096509,0.7966165379778081
646,17,1562,39961,3096509,0.843342313172757
647,206,6755,39961,3096509,2.3630769608065862
660,96,3950,39961,3096509,1.8832593677569809
661,47,5001,39961,3096509,0.7282441462209297
662,18,1350,39961,3096509,1.0331770142555659
663,159,5961,39961,3096509,2.0668739968122165
664,34,2081,39961,3096509,1.2660266152579014
665,11,987,39961,3096509,0.8635978082683301
674,15,809,39961,3096509,1.4367418307014976
675,30,1813,39961,3096509,1.2822108560810939
677,46,2105,39961,3096509,1.6933304984236117
678,136,3766,39961,3096509,2.7983020566666945
680,70,4224,39961,3096509,1.284133362888665
681,54,2450,39961,3096509,1.7079048603000169
695,77,4686,39961,3096509,1.273281531652986
696,8,2327,39961,3096509,0.2663971674058184
698,89,3894,39961,3096509,1.7710468849912433
699,48,1429,39961,3096509,2.602825228355519
701,167,7481,39961,3096509,1.7297877427551076
714,6,1594,39961,3096509,0.29167481581869803
715,102,5433,39961,3096509,1.4547771321654848
716,79,10995,39961,3096509,0.5567597825797388
717,8,1200,39961,3096509,0.5165885071277829
718,14,616,39961,3096509,1.7610971833901692
720,24,1721,39961,3096509,1.080603501255095
721,131,6336,39961,3096509,1.602109243223001
722,106,3508,39961,3096509,2.3414359359554586
734,27,1907,39961,3096509,1.097107212305989
735,99,8238,39961,3096509,0.9312138056382104
736,41,2442,39961,3096509,1.3009907120539987
737,14,1308,39961,3096509,0.8293852178657066
738,16,1089,39961,3096509,1.1384870680502104
739,58,3074,39961,3096509,1.4620429447012724
740,31,1970,39961,3096509,1.219358658956442
741,224,7083,39961,3096509,2.450568098191939
746,6,2742,39961,3096509,0.16955859096097908
755,19,2807,39961,3096509,0.5245020467809696
756,65,3847,39961,3096509,1.3092638275268738
757,66,3409,39961,3096509,1.5002130303798917
758,19,1435,39961,3096509,1.0259771744349697
759,44,3572,39961,3096509,0.954502840717628
760,11,1186,39961,3096509,0.7186939601693438
761,5,976,39961,3096509,0.3969686274035217
762,260,6989,39961,3096509,2.8826658717961844
763,196,4445,39961,3096509,3.416805873916045
765,5,1173,39961,3096509,0.3302995569870735
767,42,3745,39961,3096509,0.8690273951682329
773,12,683,39961,3096509,1.3614338401610675
774,19,3455,39961,3096509,0.42612944871611613
775,28,6749,39961,3096509,0.32148047561663773
776,19,1524,39961,3096509,0.966061184589358
777,34,7388,39961,3096509,0.3566054935505811
778,35,2797,39961,3096509,0.9696423533860781
780,33,1296,39961,3096509,1.9730811036130598
781,80,3465,39961,3096509,1.7890511069360446
785,205,7198,39961,3096509,2.2068764370907643
786,147,4784,39961,3096509,2.3810151718577788
795,33,1422,39961,3096509,1.7982511324068393
796,7,6161,39961,3096509,0.08804056686969194
797,24,7745,39961,3096509,0.2401186088650766
800,63,2419,39961,3096509,2.018090695476457
805,166,6617,39961,3096509,1.9439404303282144
811,14,1391,39961,3096509,0.7798963802791834
812,31,2643,39961,3096509,0.9088674075460426
813,30,7540,39961,3096509,0.3083087907261304
814,19,500,39961,3096509,2.944554490628363
815,19,3712,39961,3096509,0.3966264130695532
823,127,4461,39961,3096509,2.206010101050048
824,134,4515,39961,3096509,2.2997627892067416
829,17,2217,39961,3096509,0.5941816387802644
830,19,6061,39961,3096509,0.24290995632967852
831,81,5880,39961,3096509,1.0674405376875107
832,10,818,39961,3096509,0.9472894384983794
834,9,797,39961,3096509,0.875024447456094
842,181,17469,39961,3096509,0.8028724007395561
850,19,4213,39961,3096509,0.34946053769622154
851,59,3070,39961,3096509,1.489188367453055
853,18,1803,39961,3096509,0.7735934382945168
